카테고리,전라남도 나주시,전라남도 나주시 남평읍,전라남도 나주시 세지면,전라남도 나주시 왕곡면,전라남도 나주시 반남면,전라남도 나주시 공산면,전라남도 나주시 동강면,전라남도 나주시 다시면,전라남도 나주시 문평면,전라남도 나주시 노안면,전라남도 나주시 금천면,전라남도 나주시 산포면,전라남도 나주시 다도면,전라남도 나주시 봉황면,전라남도 나주시 송월동,전라남도 나주시 영강동,전라남도 나주시 금남동,전라남도 나주시 성북동,전라남도 나주시 영산동,전라남도 나주시 이창동,전라남도 나주시 빛가람동
2021년11월_여_50~59세,"7,822",961,183,189,107,132,150,251,125,342,274,254,141,278,633,228,401,710,240,218,"2,005"
2021년11월_여_60~69세,"8,321","1,009",269,298,155,239,263,406,212,504,429,350,193,440,462,237,453,582,316,318,"1,186"
2021년11월_여_70~79세,"6,361",618,267,250,146,231,292,370,222,424,411,283,198,442,308,170,406,394,289,249,391
2021년11월_여_80~89세,"4,804",418,232,263,160,207,253,319,216,383,268,240,165,349,195,113,232,230,226,167,168
2021년11월_여_90~99세,843,72,46,44,27,31,40,54,36,86,46,36,25,61,27,26,46,45,37,31,27
2021년11월_여_100세 이상,28,2,2,2,0,4,0,2,4,2,2,0,1,2,2,0,1,1,0,1,0
2021년12월_계_총인구수,"116,726","12,040","2,563","2,838","1,410","2,246","2,406","3,551","1,901","4,515","4,174","3,317","1,861","4,138","7,811","2,652","4,859","8,709","3,155","3,334","39,246"
2021년12월_계_연령구간인구수,"116,726","12,040","2,563","2,838","1,410","2,246","2,406","3,551","1,901","4,515","4,174","3,317","1,861","4,138","7,811","2,652","4,859","8,709","3,155","3,334","39,246"
2021년12월_계_0~9세,"9,845","1,063",37,56,19,69,44,58,29,82,100,70,24,81,586,128,212,647,102,101,"6,337"
2021년12월_계_10~19세,"9,643",791,134,117,45,115,71,147,50,149,201,133,57,174,818,188,344,902,204,191,"4,812"
2021년12월_계_20~29세,"12,211","1,121",178,230,87,139,152,237,101,313,348,267,99,284,"1,238",313,496,"1,300",240,371,"4,697"
2021년12월_계_30~39세,"14,425","1,551",122,160,63,108,111,183,88,244,286,218,91,206,960,258,376,850,208,279,"8,063"
2021년12월_계_40~49세,"16,746","1,670",207,241,116,210,189,302,142,355,422,339,138,341,"1,193",358,550,"1,313",298,396,"7,966"
2021년12월_계_50~59세,"17,408","1,983",444,497,243,344,361,589,312,854,713,651,365,722,"1,339",477,835,"1,466",554,599,"4,060"
2021년12월_계_60~69세,"17,014","2,026",586,646,325,512,576,865,458,"1,097",895,735,463,953,860,438,886,"1,102",660,666,"2,265"
2021년12월_계_70~79세,"11,344","1,126",470,460,273,408,492,638,368,756,742,518,338,789,496,298,714,712,518,464,764
2021년12월_계_80~89세,"6,980",618,331,378,202,305,356,461,306,551,405,337,243,508,286,166,385,357,315,229,241
2021년12월_계_90~99세,"1,080",91,53,52,37,33,54,68,43,111,59,49,41,76,33,28,60,59,56,37,40
2021년12월_계_100세 이상,30,0,1,1,0,3,0,3,4,3,3,0,2,4,2,0,1,1,0,1,1
2021년12월_남_총인구수,"58,906","6,051","1,293","1,484",697,"1,139","1,196","1,795",932,"2,326","2,191","1,739",960,"2,142","3,881","1,312","2,440","4,390","1,585","1,795","19,558"
2021년12월_남_연령구간인구수,"58,906","6,051","1,293","1,484",697,"1,139","1,196","1,795",932,"2,326","2,191","1,739",960,"2,142","3,881","1,312","2,440","4,390","1,585","1,795","19,558"
2021년12월_남_0~9세,"5,080",548,17,31,9,33,17,27,12,49,50,31,14,46,305,62,118,345,59,49,"3,258"
2021년12월_남_10~19세,"4,958",399,71,65,21,63,42,90,27,82,112,70,26,99,406,99,211,475,96,94,"2,410"
2021년12월_남_20~29세,"6,440",614,99,134,56,85,96,140,61,180,196,155,51,163,660,176,278,722,128,218,"2,228"
2021년12월_남_30~39세,"7,549",793,70,106,48,63,67,118,51,143,185,132,55,119,536,139,193,441,111,164,"4,015"
2021년12월_남_40~49세,"9,220",944,145,158,73,129,131,200,97,237,257,225,89,238,589,195,304,674,193,249,"4,093"
2021년12월_남_50~59세,"9,576","1,016",266,308,139,215,212,332,188,513,447,395,221,441,706,251,430,756,314,386,"2,040"
2021년12월_남_60~69세,"8,655","1,014",315,345,168,273,310,459,245,592,462,387,269,509,399,200,432,521,344,351,"1,060"
2021년12월_남_70~79세,"5,032",512,207,212,128,178,204,274,150,340,329,235,144,351,186,132,309,315,232,216,378
2021년12월_남_80~89세,"2,162",194,97,117,46,97,104,142,94,164,141,97,76,160,86,54,149,127,89,62,66
2021년12월_남_90~99세,229,17,6,8,9,3,13,13,7,26,11,12,14,14,8,4,16,14,19,6,9
2021년12월_남_100세 이상,5,0,0,0,0,0,0,0,0,0,1,0,1,2,0,0,0,0,0,0,1
2021년12월_여_총인구수,"57,820","5,989","1,270","1,354",713,"1,107","1,210","1,756",969,"2,189","1,983","1,578",901,"1,996","3,930","1,340","2,419","4,319","1,570","1,539","19,688"
2021년12월_여_연령구간인구수,"57,820","5,989","1,270","1,354",713,"1,107","1,210","1,756",969,"2,189","1,983","1,578",901,"1,996","3,930","1,340","2,419","4,319","1,570","1,539","19,688"
2021년12월_여_0~9세,"4,765",515,20,25,10,36,27,31,17,33,50,39,10,35,281,66,94,302,43,52,"3,079"
2021년12월_여_10~19세,"4,685",392,63,52,24,52,29,57,23,67,89,63,31,75,412,89,133,427,108,97,"2,402"
2021년12월_여_20~29세,"5,771",507,79,96,31,54,56,97,40,133,152,112,48,121,578,137,218,578,112,153,"2,469"
2021년12월_여_30~39세,"6,876",758,52,54,15,45,44,65,37,101,101,86,36,87,424,119,183,409,97,115,"4,048"
2021년12월_여_40~49세,"7,526",726,62,83,43,81,58,102,45,118,165,114,49,103,604,163,246,639,105,147,"3,873"
2021년12월_여_50~59세,"7,832",967,178,189,104,129,149,257,124,341,266,256,144,281,633,226,405,710,240,213,"2,020"
2021년12월_여_60~69세,"8,359","1,012",271,301,157,239,266,406,213,505,433,348,194,444,461,238,454,581,316,315,"1,205"
2021년12월_여_70~79세,"6,312",614,263,248,145,230,288,364,218,416,413,283,194,438,310,166,405,397,286,248,386
2021년12월_여_80~89세,"4,818",424,234,261,156,208,252,319,212,387,264,240,167,348,200,112,236,230,226,167,175
2021년12월_여_90~99세,851,74,47,44,28,30,41,55,36,85,48,37,27,62,25,24,44,45,37,31,31
2021년12월_여_100세 이상,25,0,1,1,0,3,0,3,4,3,2,0,1,2,2,0,1,1,0,1,0
