카테고리,강원도,강원도 춘천시,강원도 원주시,강원도 강릉시,강원도 동해시,강원도 태백시,강원도 속초시,강원도 삼척시,강원도 홍천군,강원도 횡성군,강원도 영월군,강원도 평창군,강원도 정선군,강원도 철원군,강원도 화천군,강원도 양구군,강원도 인제군,강원도 고성군,강원도 양양군
2021년11월_여_90~99세,"9,047","1,476","1,520","1,359",457,198,501,488,504,429,262,305,257,275,173,136,195,247,265
2021년11월_여_100세 이상,331,50,50,44,12,11,12,18,30,23,13,15,7,10,7,5,4,9,11
2021년12월_계_총인구수,"1,538,492","284,594","357,757","212,965","90,081","40,844","82,791","63,429","68,365","46,481","37,904","40,996","35,675","43,340","24,195","21,748","32,165","27,249","27,913"
2021년12월_계_연령구간인구수,"1,538,492","284,594","357,757","212,965","90,081","40,844","82,791","63,429","68,365","46,481","37,904","40,996","35,675","43,340","24,195","21,748","32,165","27,249","27,913"
2021년12월_계_0~9세,"100,971","20,826","27,420","12,837","6,272","2,301","5,621","3,524","3,535","2,108","1,549","1,715","1,628","3,155","1,709","1,649","2,499","1,354","1,269"
2021년12월_계_10~19세,"133,885","26,476","35,362","18,449","8,535","3,665","7,220","5,018","4,962","3,441","2,748","2,724","2,412","3,629","1,721","1,929","2,236","1,588","1,770"
2021년12월_계_20~29세,"175,424","37,437","44,938","24,560","9,361","3,452","8,958","6,721","6,495","3,622","3,136","3,240","2,625","5,242","3,567","2,856","4,209","2,678","2,327"
2021년12월_계_30~39세,"162,817","34,379","45,429","21,221","8,677","3,296","9,112","5,210","5,720","3,240","2,620","2,824","2,755","4,496","2,763","2,471","3,981","2,379","2,244"
2021년12월_계_40~49세,"219,422","41,949","56,864","31,762","14,228","6,095","12,149","8,497","7,973","4,926","4,322","5,053","4,626","5,483","2,608","2,428","3,938","3,077","3,444"
2021년12월_계_50~59세,"264,586","46,820","61,255","36,670","15,731","6,981","15,068","10,920","12,122","8,502","7,097","7,802","6,682","6,929","3,758","3,407","5,107","4,797","4,938"
2021년12월_계_60~69세,"260,158","41,669","50,069","35,766","14,679","7,804","13,878","11,843","15,114","11,158","8,503","9,485","7,925","7,159","4,133","3,649","5,730","5,651","5,943"
2021년12월_계_70~79세,"132,627","20,395","21,409","19,512","7,994","4,789","6,770","6,992","7,104","5,466","4,688","4,877","4,373","4,468","2,207","1,954","2,589","3,408","3,632"
2021년12월_계_80~89세,"76,586","12,627","12,978","10,438","4,008","2,204","3,395","4,074","4,657","3,454","2,858","2,877","2,312","2,401","1,491","1,218","1,610","1,981","2,003"
2021년12월_계_90~99세,"11,658","1,953","1,978","1,698",584,255,608,614,661,538,370,382,327,365,228,180,259,327,331
2021년12월_계_100세 이상,358,63,55,52,12,2,12,16,22,26,13,17,10,13,10,7,7,9,12
2021년12월_남_총인구수,"774,332","140,584","177,396","105,667","45,795","20,656","41,080","32,043","35,184","23,859","19,626","21,091","18,565","22,453","13,138","11,464","17,461","14,019","14,251"
2021년12월_남_연령구간인구수,"774,332","140,584","177,396","105,667","45,795","20,656","41,080","32,043","35,184","23,859","19,626","21,091","18,565","22,453","13,138","11,464","17,461","14,019","14,251"
2021년12월_남_0~9세,"51,606","10,674","13,933","6,617","3,229","1,218","2,850","1,795","1,811","1,115",820,850,835,"1,546",886,823,"1,265",686,653
2021년12월_남_10~19세,"69,604","13,788","18,275","9,692","4,449","1,889","3,758","2,572","2,503","1,797","1,489","1,445","1,240","1,896",863,969,"1,185",858,936
2021년12월_남_20~29세,"98,744","20,039","23,959","13,449","5,520","1,994","5,067","3,747","3,938","2,085","1,818","1,920","1,532","3,389","2,469","1,897","2,821","1,710","1,390"
2021년12월_남_30~39세,"85,867","17,625","23,135","11,218","4,680","1,750","4,919","2,812","3,114","1,709","1,429","1,532","1,528","2,496","1,643","1,373","2,312","1,356","1,236"
2021년12월_남_40~49세,"112,385","20,733","27,972","16,190","7,413","3,244","6,073","4,635","4,261","2,728","2,332","2,775","2,656","2,905","1,410","1,310","2,193","1,687","1,868"
2021년12월_남_50~59세,"136,544","23,571","30,685","18,543","8,191","3,776","7,450","5,951","6,436","4,514","3,950","4,192","3,744","3,695","2,049","1,818","2,732","2,593","2,654"
2021년12월_남_60~69세,"129,786","20,132","24,863","17,084","7,096","3,833","6,729","5,957","7,881","5,832","4,506","4,961","4,195","3,563","2,239","1,948","3,076","2,890","3,001"
2021년12월_남_70~79세,"59,795","8,956","9,570","8,746","3,624","2,103","2,932","3,113","3,401","2,676","2,148","2,301","1,977","1,999",996,854,"1,235","1,474","1,690"
2021년12월_남_80~89세,"27,366","4,576","4,556","3,785","1,476",796,"1,196","1,332","1,676","1,285","1,029","1,040",790,871,523,427,571,684,753
2021년12월_남_90~99세,"2,566",470,441,333,116,53,105,129,161,115,101,73,65,91,56,42,67,80,68
2021년12월_남_100세 이상,69,20,7,10,1,0,1,0,2,3,4,2,3,2,4,3,4,1,2
2021년12월_여_총인구수,"764,160","144,010","180,361","107,298","44,286","20,188","41,711","31,386","33,181","22,622","18,278","19,905","17,110","20,887","11,057","10,284","14,704","13,230","13,662"
2021년12월_여_연령구간인구수,"764,160","144,010","180,361","107,298","44,286","20,188","41,711","31,386","33,181","22,622","18,278","19,905","17,110","20,887","11,057","10,284","14,704","13,230","13,662"
2021년12월_여_0~9세,"49,365","10,152","13,487","6,220","3,043","1,083","2,771","1,729","1,724",993,729,865,793,"1,609",823,826,"1,234",668,616
2021년12월_여_10~19세,"64,281","12,688","17,087","8,757","4,086","1,776","3,462","2,446","2,459","1,644","1,259","1,279","1,172","1,733",858,960,"1,051",730,834
2021년12월_여_20~29세,"76,680","17,398","20,979","11,111","3,841","1,458","3,891","2,974","2,557","1,537","1,318","1,320","1,093","1,853","1,098",959,"1,388",968,937
2021년12월_여_30~39세,"76,950","16,754","22,294","10,003","3,997","1,546","4,193","2,398","2,606","1,531","1,191","1,292","1,227","2,000","1,120","1,098","1,669","1,023","1,008"
2021년12월_여_40~49세,"107,037","21,216","28,892","15,572","6,815","2,851","6,076","3,862","3,712","2,198","1,990","2,278","1,970","2,578","1,198","1,118","1,745","1,390","1,576"
2021년12월_여_50~59세,"128,042","23,249","30,570","18,127","7,540","3,205","7,618","4,969","5,686","3,988","3,147","3,610","2,938","3,234","1,709","1,589","2,375","2,204","2,284"
2021년12월_여_60~69세,"130,372","21,537","25,206","18,682","7,583","3,971","7,149","5,886","7,233","5,326","3,997","4,524","3,730","3,596","1,894","1,701","2,654","2,761","2,942"
2021년12월_여_70~79세,"72,832","11,439","11,839","10,766","4,370","2,686","3,838","3,879","3,703","2,790","2,540","2,576","2,396","2,469","1,211","1,100","1,354","1,934","1,942"
2021년12월_여_80~89세,"49,220","8,051","8,422","6,653","2,532","1,408","2,199","2,742","2,981","2,169","1,829","1,837","1,522","1,530",968,791,"1,039","1,297","1,250"
2021년12월_여_90~99세,"9,092","1,483","1,537","1,365",468,202,503,485,500,423,269,309,262,274,172,138,192,247,263
2021년12월_여_100세 이상,289,43,48,42,11,2,11,16,20,23,9,15,7,11,6,4,3,8,10
